"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","企业主页","","0","0","50","0","0"
"","企业筛选","","0","0","12","0","0"
"","行业分析","","0","0","26","0","0"
"","企业排行榜","","0","0","4","0","0"
"","管理熵对比页","","0","0","14","0","0"
"","登录模块","","0","0","13","0","0"
"","经营诊断详情","","0","0","8","0","0"
"","管理熵","","0","0","24","0","0"
"","经营诊断对比","","0","0","2","0","0"
"","产业链中心","","0","0","20","0","0"
"","专题诊断详情","","0","0","2","0","0"
"","在线诊断","","0","1","26","0","0"
"","个人中心","","0","0","2","0","0"
"","管理熵诊断详情","","0","0","2","0","0"
"","基线制定","","0","0","2","0","0"
